source_file,id,shortcode,permalink,typename,product_type,is_video,timestamp_utc,datetime_utc,caption,caption_word_count,hashtags,caption_mentions,tagged_usernames,owner_id,owner_username,owner_full_name,owner_is_verified,location_id,location_name,location_slug,likes,comments,video_views,display_url,thumbnail_src,video_url,video_duration,sidecar_items,text_for_nlp,error
atllovesmo\2020-08-15_19-47-05_UTC.json.xz,2.3765E+18,CD7BZpIJNWZ,https://www.instagram.com/p/CD7BZpIJNWZ/,GraphSidecar,,FALSE,1597520825,2020-08-15T19:47:05+00:00,"Thank you @charcuterie_chick for blessing us before our trip to @chateau_elan ! This board was a DREAM, we loved it!!!

Details:
Dry aged salami
Pepperoni 
Aged cheddar 
Jarslberg Swiss 
Brie filled with EBTB nut duo 
Goat cheese stuffed dates
Goat cheese EBTB ball 

Sweet 
Fresh Blueberries and dried blueberries 
Fresh strawberries topped with lemon zest 
Raspberry preserves
Orange preserves 

Salty & crunchy 
Cucumbers 
EBTB nut duo (cashews and almonds) 
Honey roasted mixed nuts 

Assorted crackers & sweet treats",78,,charcuterie_chick|chateau_elan,charcuterie_chick,8434439572,atllovesmo,Morgan Tolley,TRUE,105773557,Chateau Elan Winery & Resort,chateau-elan-winery-resort,119,6,,https://scontent-atl3-3.cdninstagram.com/v/t51.29350-15/117970925_1214441512247948_453623999211256280_n.jpg?stp=dst-jpg_e35_p1080x1080_tt6&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QFDFtxaArowchsLPDvwD7Uo3ijTUmNXKR_6xtVxR6BahSS9UPn29L6FP5UNfwL5iQLeCnsd4Dqcsr5LD-JjH7dJ&_nc_ohc=N480FTmq_dMQ7kNvwG8Q-e9&_nc_gid=vSYtTVWKQXjnG6WkdEQ38Q&edm=APU89FABAAAA&ccb=7-5&oh=00_AfzxItkrQzGhTnQTVT1IH-vnfRQ0QlJIdUvMKSIc1kvTVg&oe=69AFA7B4&_nc_sid=bc0c2c,https://scontent-atl3-3.cdninstagram.com/v/t51.29350-15/117970925_1214441512247948_453623999211256280_n.jpg?stp=c0.27.1440.1440a_dst-jpg_e35_s640x640_sh0.08_tt6&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QFDFtxaArowchsLPDvwD7Uo3ijTUmNXKR_6xtVxR6BahSS9UPn29L6FP5UNfwL5iQLeCnsd4Dqcsr5LD-JjH7dJ&_nc_ohc=N480FTmq_dMQ7kNvwG8Q-e9&_nc_gid=vSYtTVWKQXjnG6WkdEQ38Q&edm=APU89FABAAAA&ccb=7-5&oh=00_AfymrYVVH8U0GvA9FnAdf8HkmmHQBfxSdkxSfw0_ci4efA&oe=69AFA7B4&_nc_sid=bc0c2c,,,2,"Thank you @charcuterie_chick for blessing us before our trip to @chateau_elan ! This board was a DREAM, we loved it!!!

Details:
Dry aged salami
Pepperoni 
Aged cheddar 
Jarslberg Swiss 
Brie filled with EBTB nut duo 
Goat cheese stuffed dates
Goat cheese EBTB ball 

Sweet 
Fresh Blueberries and dried blueberries 
Fresh strawberries topped with lemon zest 
Raspberry preserves
Orange preserves 

Salty & crunchy 
Cucumbers 
EBTB nut duo (cashews and almonds) 
Honey roasted mixed nuts 

Assorted crackers & sweet treats",
atllovesmo\2020-12-10_18-53-22_UTC.json.xz,2.46127E+18,CIoMQoAJUIx,https://www.instagram.com/p/CIoMQoAJUIx/,GraphSidecar,,FALSE,1607626402,2020-12-10T18:53:22+00:00,Officially adding to my list of favorite Atlanta vegan meals! @calaveritasv BIRRIA TACOS & QUESADILLAS + the torta tinga were to DIE 💀 for. Yet another gem found at @atlfoodtruckpark,30,,atlfoodtruckpark|calaveritasv,atlfoodtruckpark|calaveritasatl,8434439572,atllovesmo,Morgan Tolley,TRUE,12981398,Atlanta Food Truck Park & Market,atlanta-food-truck-park-market,85,10,,https://scontent-atl3-1.cdninstagram.com/v/t51.29350-15/130286586_1394567990934876_2837509424730771911_n.jpg?stp=dst-jpg_e35_p1080x1080_tt6&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2QG7ajxz7I1bMLnCkv2HJdgQN4MElgZtwWsgEXcGUekKx9jePFQei4FWG-08Ov-L8nLz2bYkhBGI-eKfpiSOZWGt&_nc_ohc=iarywKVm668Q7kNvwEUlVAu&_nc_gid=ZAVjDpXAjE64-qWEcIGT7w&edm=APU89FABAAAA&ccb=7-5&oh=00_Afwc1lC3u1_EmqSsFnlXreQ86xWL3MpomCdCcDfTcfdntQ&oe=69AFA6EC&_nc_sid=bc0c2c,https://scontent-atl3-1.cdninstagram.com/v/t51.29350-15/130286586_1394567990934876_2837509424730771911_n.jpg?stp=c0.87.1440.1440a_dst-jpg_e35_s640x640_sh0.08_tt6&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2QG7ajxz7I1bMLnCkv2HJdgQN4MElgZtwWsgEXcGUekKx9jePFQei4FWG-08Ov-L8nLz2bYkhBGI-eKfpiSOZWGt&_nc_ohc=iarywKVm668Q7kNvwEUlVAu&_nc_gid=ZAVjDpXAjE64-qWEcIGT7w&edm=APU89FABAAAA&ccb=7-5&oh=00_AfxfnKD4ZBP_z_fG5eHW_2UyZr2how_BGkDCrITNxr3Grg&oe=69AFA6EC&_nc_sid=bc0c2c,,,5,Officially adding to my list of favorite Atlanta vegan meals! @calaveritasv BIRRIA TACOS & QUESADILLAS + the torta tinga were to DIE 💀 for. Yet another gem found at @atlfoodtruckpark,
atllovesmo\2021-01-06_23-09-54_UTC.json.xz,2.48097E+18,CJuLFGBp4gj,https://www.instagram.com/p/CJuLFGBp4gj/,GraphSidecar,,FALSE,1609974594,2021-01-06T23:09:54+00:00,"Oh @cafesunflower how I love you 💕 the yummiest V enchiladas, spinach dip, alfredo (gf), & OREO CHEESECAKE. I could eat this over and over and over and over  #atlantafoodie #atlfoodblog #atlvegan #atlglutenfree",33,atlantafoodie|atlfoodblog|atlglutenfree|atlvegan,cafesunflower,cafesunflower,8434439572,atllovesmo,Morgan Tolley,TRUE,367028,Cafe Sunflower Buckhead,cafe-sunflower-buckhead,73,11,,https://scontent-atl3-2.cdninstagram.com/v/t51.29350-15/136095209_176388147555853_1423045651264440020_n.jpg?stp=dst-jpg_e35_s1080x1080_tt6&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2QG7ajxz7I1bMLnCkv2HJdgQN4MElgZtwWsgEXcGUekKx9jePFQei4FWG-08Ov-L8nLz2bYkhBGI-eKfpiSOZWGt&_nc_ohc=3C_nUU-6ahsQ7kNvwH4Gwdv&_nc_gid=ZAVjDpXAjE64-qWEcIGT7w&edm=APU89FABAAAA&ccb=7-5&oh=00_AfzEu_qwyIJI1SovpL9VHx10rnlsZbAsR0_zWHEa1oz0ZA&oe=69AFB957&_nc_sid=bc0c2c,https://scontent-atl3-2.cdninstagram.com/v/t51.29350-15/136095209_176388147555853_1423045651264440020_n.jpg?stp=c0.0.1439.1439a_dst-jpg_e35_s640x640_sh0.08_tt6&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2QG7ajxz7I1bMLnCkv2HJdgQN4MElgZtwWsgEXcGUekKx9jePFQei4FWG-08Ov-L8nLz2bYkhBGI-eKfpiSOZWGt&_nc_ohc=3C_nUU-6ahsQ7kNvwH4Gwdv&_nc_gid=ZAVjDpXAjE64-qWEcIGT7w&edm=APU89FABAAAA&ccb=7-5&oh=00_Afz56ZaXdAWbms-NVDyzNqPdeLCmj14gkv8Xq7Kj_qnKUw&oe=69AFB957&_nc_sid=bc0c2c,,,4,"Oh @cafesunflower how I love you 💕 the yummiest V enchiladas, spinach dip, alfredo (gf), & OREO CHEESECAKE. I could eat this over and over and over and over  #atlantafoodie #atlfoodblog #atlvegan #atlglutenfree",
atllovesmo\2021-02-23_16-10-41_UTC.json.xz,2.51555E+18,CLpBQt-prca,https://www.instagram.com/p/CLpBQt-prca/,GraphImage,,FALSE,1614096641,2021-02-23T16:10:41+00:00,"FLOWER CHILD 🌸 vegan ramen, glow bowl, and thai dye @eatflowerchild #glutenfreeveganatlanta #atlfoodie #atlantavegan",14,atlantavegan|atlfoodie|glutenfreeveganatlanta,eatflowerchild,eatflowerchild,8434439572,atllovesmo,Morgan Tolley,TRUE,212947533,"Atlanta, Georgia",atlanta-georgia,73,8,,https://scontent-atl3-2.cdninstagram.com/v/t51.82787-15/620227459_18053989376406686_1670137540175458442_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2QG7ajxz7I1bMLnCkv2HJdgQN4MElgZtwWsgEXcGUekKx9jePFQei4FWG-08Ov-L8nLz2bYkhBGI-eKfpiSOZWGt&_nc_ohc=UW26PBB2840Q7kNvwG3D8Oh&_nc_gid=ZAVjDpXAjE64-qWEcIGT7w&edm=APU89FABAAAA&ccb=7-5&oh=00_AfzH5YAQboSci9Cp4igqlgwPd5SbKUqv1jfO4DFEBBzJtQ&oe=69AFA948&_nc_sid=bc0c2c,https://scontent-atl3-2.cdninstagram.com/v/t51.82787-15/620227459_18053989376406686_1670137540175458442_n.jpg?stp=c0.180.1440.1440a_dst-jpg_e35_s640x640_sh0.08_tt6&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2QG7ajxz7I1bMLnCkv2HJdgQN4MElgZtwWsgEXcGUekKx9jePFQei4FWG-08Ov-L8nLz2bYkhBGI-eKfpiSOZWGt&_nc_ohc=UW26PBB2840Q7kNvwG3D8Oh&_nc_gid=ZAVjDpXAjE64-qWEcIGT7w&edm=APU89FABAAAA&ccb=7-5&oh=00_Afw8J3STtB41xQfjNYLdZ7YpSYCAa5aKs78zXcANVgafkg&oe=69AFA948&_nc_sid=bc0c2c,,,0,"FLOWER CHILD 🌸 vegan ramen, glow bowl, and thai dye @eatflowerchild #glutenfreeveganatlanta #atlfoodie #atlantavegan",
atllovesmo\2021-02-24_18-14-42_UTC.json.xz,2.51633E+18,CLr0P5WpOdU,https://www.instagram.com/p/CLr0P5WpOdU/,GraphImage,,FALSE,1614190482,2021-02-24T18:14:42+00:00,"So many great options at @bigsoftieatl including my favorite vanilla oat milk soft serve! 🍦right side dulce hard shell + corn flake streusel (v) left side strawberry hard shell (v). If you haven’t been, go now!",36,,bigsoftieatl,bigsoftieatl,8434439572,atllovesmo,Morgan Tolley,TRUE,4.19178E+14,Big Softie,big-softie,82,4,,https://scontent-atl3-1.cdninstagram.com/v/t51.82787-15/634249160_18408495874122138_3165839665618086335_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2QG7ajxz7I1bMLnCkv2HJdgQN4MElgZtwWsgEXcGUekKx9jePFQei4FWG-08Ov-L8nLz2bYkhBGI-eKfpiSOZWGt&_nc_ohc=nSAqUnC3VioQ7kNvwEYg009&_nc_gid=ZAVjDpXAjE64-qWEcIGT7w&edm=APU89FABAAAA&ccb=7-5&oh=00_AfyrnXk6lYBl_VBh61qH9FHLsElO8eDIdH47_tQfdnH_PA&oe=69AF8D70&_nc_sid=bc0c2c,https://scontent-atl3-1.cdninstagram.com/v/t51.82787-15/634249160_18408495874122138_3165839665618086335_n.jpg?stp=c0.180.1440.1440a_dst-jpg_e35_s640x640_sh0.08_tt6&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2QG7ajxz7I1bMLnCkv2HJdgQN4MElgZtwWsgEXcGUekKx9jePFQei4FWG-08Ov-L8nLz2bYkhBGI-eKfpiSOZWGt&_nc_ohc=nSAqUnC3VioQ7kNvwEYg009&_nc_gid=ZAVjDpXAjE64-qWEcIGT7w&edm=APU89FABAAAA&ccb=7-5&oh=00_AfwRKMtq7sa6sXPSX_7ZA7Cy-kAMwI0EzZ6-G-dCW2dNwA&oe=69AF8D70&_nc_sid=bc0c2c,,,0,"So many great options at @bigsoftieatl including my favorite vanilla oat milk soft serve! 🍦right side dulce hard shell + corn flake streusel (v) left side strawberry hard shell (v). If you haven’t been, go now!",
atllovesmo\2021-04-07_01-45-39_UTC.json.xz,2.54628E+18,CNWMcrZJG_c,https://www.instagram.com/p/CNWMcrZJG_c/,GraphImage,,FALSE,1617759939,2021-04-07T01:45:39+00:00,"Let me tell you, @upbeet has my favorite smoothies in Atl! These are the strawberry basil 🍓and the green day 💚 honorable mention to the Chinese takeout bowl! Pretty & healthy is a vibeee 

⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀

⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀

⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
#atlantafoodie #atlblog #atlanta #atlbucketlist #atlantaeats #tasteofmyatlanta #atlfoodie #welloveatl #eatatlanta  #veganoptions⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀

⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀

#atlvegan #tasteofmyatlanta #atlfoodie #atlantafoodie #hotlanta #veganatlanta #welloveatl #eatatlanta #supportlocal #plantbased",58,atlanta|atlantaeats|atlantafoodie|atlblog|atlbucketlist|atlfoodie|atlvegan|eatatlanta|hotlanta|plantbased|supportlocal|tasteofmyatlanta|veganatlanta|veganoptions|welloveatl,upbeet,upbeet,8434439572,atllovesmo,Morgan Tolley,TRUE,1.3005E+14,Upbeet,upbeet,107,19,,https://scontent-atl3-2.cdninstagram.com/v/t51.82787-15/619925693_18092715053483150_7536044678648435701_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08_tt6&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2QG7ajxz7I1bMLnCkv2HJdgQN4MElgZtwWsgEXcGUekKx9jePFQei4FWG-08Ov-L8nLz2bYkhBGI-eKfpiSOZWGt&_nc_ohc=OOaW2WpeHnoQ7kNvwF1dprV&_nc_gid=ZAVjDpXAjE64-qWEcIGT7w&edm=APU89FABAAAA&ccb=7-5&oh=00_AfzkEZAHx8EjevxQG6tiUsJ0NEQ9vLa2xSFm9om4EbOLaw&oe=69AF9FC0&_nc_sid=bc0c2c,https://scontent-atl3-2.cdninstagram.com/v/t51.82787-15/619925693_18092715053483150_7536044678648435701_n.jpg?stp=dst-jpg_e35_s640x640_sh0.08_tt6&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2QG7ajxz7I1bMLnCkv2HJdgQN4MElgZtwWsgEXcGUekKx9jePFQei4FWG-08Ov-L8nLz2bYkhBGI-eKfpiSOZWGt&_nc_ohc=OOaW2WpeHnoQ7kNvwF1dprV&_nc_gid=ZAVjDpXAjE64-qWEcIGT7w&edm=APU89FABAAAA&ccb=7-5&oh=00_Afx65E74tJPpjuIGPDbpxBawW7_CkrzvzamA2fl5cD54FQ&oe=69AF9FC0&_nc_sid=bc0c2c,,,0,"Let me tell you, @upbeet has my favorite smoothies in Atl! These are the strawberry basil 🍓and the green day 💚 honorable mention to the Chinese takeout bowl! Pretty & healthy is a vibeee 

⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀

⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀

⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
#atlantafoodie #atlblog #atlanta #atlbucketlist #atlantaeats #tasteofmyatlanta #atlfoodie #welloveatl #eatatlanta  #veganoptions⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀

⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀

#atlvegan #tasteofmyatlanta #atlfoodie #atlantafoodie #hotlanta #veganatlanta #welloveatl #eatatlanta #supportlocal #plantbased",
atllovesmo\2021-04-16_17-41-40_UTC.json.xz,2.55328E+18,CNvFAoHpbK9,https://www.instagram.com/p/CNvFAoHpbK9/,GraphSidecar,,FALSE,1618594900,2021-04-16T17:41:40+00:00,"@boldmonkbrewing was a vibe, such good aesthetic inside & out! Stop in next time you’re on the West Side!

⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀

⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
#atlantafoodie #atlblog #atlanta #atlbucketlist #atlantaeats #tasteofmyatlanta #atlfoodie #welloveatl #eatatlanta  #limitedveganoptions",31,atlanta|atlantaeats|atlantafoodie|atlblog|atlbucketlist|atlfoodie|eatatlanta|limitedveganoptions|tasteofmyatlanta|welloveatl,boldmonkbrewing,boldmonkbrewing,8434439572,atllovesmo,Morgan Tolley,TRUE,1.70857E+14,Bold Monk Brewing Co.,bold-monk-brewing-co,72,8,,https://scontent-atl3-2.cdninstagram.com/v/t51.29350-15/174316579_749539435934042_7598780465226675028_n.jpg?stp=dst-jpg_e35_p1080x1080_tt6&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2QG7ajxz7I1bMLnCkv2HJdgQN4MElgZtwWsgEXcGUekKx9jePFQei4FWG-08Ov-L8nLz2bYkhBGI-eKfpiSOZWGt&_nc_ohc=Z4Jp-270fVMQ7kNvwGx3aVI&_nc_gid=ZAVjDpXAjE64-qWEcIGT7w&edm=APU89FABAAAA&ccb=7-5&oh=00_Afw2YcsSSbmHGeoCdX4RmOS455WIu5Z6qbCpabroZO1uwA&oe=69AF9F87&_nc_sid=bc0c2c,https://scontent-atl3-2.cdninstagram.com/v/t51.29350-15/174316579_749539435934042_7598780465226675028_n.jpg?stp=c0.180.1440.1440a_dst-jpg_e35_s640x640_sh0.08_tt6&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2QG7ajxz7I1bMLnCkv2HJdgQN4MElgZtwWsgEXcGUekKx9jePFQei4FWG-08Ov-L8nLz2bYkhBGI-eKfpiSOZWGt&_nc_ohc=Z4Jp-270fVMQ7kNvwGx3aVI&_nc_gid=ZAVjDpXAjE64-qWEcIGT7w&edm=APU89FABAAAA&ccb=7-5&oh=00_Afxvp4l06_1xXvWOa-G9naHrDHJTN4YGMfS0u7qcr4MdEA&oe=69AF9F87&_nc_sid=bc0c2c,,,2,"@boldmonkbrewing was a vibe, such good aesthetic inside & out! Stop in next time you’re on the West Side!

⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀

⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
#atlantafoodie #atlblog #atlanta #atlbucketlist #atlantaeats #tasteofmyatlanta #atlfoodie #welloveatl #eatatlanta  #limitedveganoptions",
atllovesmo\2021-04-25_14-18-55_UTC.json.xz,2.5597E+18,COF49ZfJxog,https://www.instagram.com/p/COF49ZfJxog/,GraphImage,,FALSE,1619360335,2021-04-25T14:18:55+00:00,What’s great about @stjulep is it can be raining (& hailing 🥲) but you still get the rooftop experience!,19,,stjulep,stjulep,8434439572,atllovesmo,Morgan Tolley,TRUE,1.00578E+14,The Betty,the-betty,49,4,,https://scontent-atl3-3.cdninstagram.com/v/t51.82787-15/619803883_18064062413258807_6679289069787152820_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08_tt6&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QG7ajxz7I1bMLnCkv2HJdgQN4MElgZtwWsgEXcGUekKx9jePFQei4FWG-08Ov-L8nLz2bYkhBGI-eKfpiSOZWGt&_nc_ohc=o92eyRWxdyQQ7kNvwFzwTl9&_nc_gid=ZAVjDpXAjE64-qWEcIGT7w&edm=APU89FABAAAA&ccb=7-5&oh=00_Afz5UfIjh4ga34P-LVdVWr6pPjyHoBvLaqih4UIZs_8cKg&oe=69AFB764&_nc_sid=bc0c2c,https://scontent-atl3-3.cdninstagram.com/v/t51.82787-15/619803883_18064062413258807_6679289069787152820_n.jpg?stp=dst-jpg_e35_s640x640_sh0.08_tt6&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QG7ajxz7I1bMLnCkv2HJdgQN4MElgZtwWsgEXcGUekKx9jePFQei4FWG-08Ov-L8nLz2bYkhBGI-eKfpiSOZWGt&_nc_ohc=o92eyRWxdyQQ7kNvwFzwTl9&_nc_gid=ZAVjDpXAjE64-qWEcIGT7w&edm=APU89FABAAAA&ccb=7-5&oh=00_AfwJwpUlQ1GDu-x1LiY6cDu_UtpwjcV2goYqA1dB86XdrA&oe=69AFB764&_nc_sid=bc0c2c,,,0,What’s great about @stjulep is it can be raining (& hailing 🥲) but you still get the rooftop experience!,
atllovesmo\2021-05-08_13-31-50_UTC.json.xz,2.5691E+18,COnR57Yp259,https://www.instagram.com/p/COnR57Yp259/,GraphSidecar,,FALSE,1620480710,2021-05-08T13:31:50+00:00,🤤🤤🤤ALL VEGAN CHINESE 🤤🤤🤤 Harmony on Buford Highway is the SPOT,11,,,,8434439572,atllovesmo,Morgan Tolley,TRUE,215467742,Harmony Vegetarian Chinese Restaurant,harmony-vegetarian-chinese-restaurant,113,12,,https://scontent-atl3-3.cdninstagram.com/v/t51.29350-15/183105449_1169985053519722_4845208254550322172_n.jpg?stp=dst-jpg_e35_s1080x1080_tt6&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2QG7ajxz7I1bMLnCkv2HJdgQN4MElgZtwWsgEXcGUekKx9jePFQei4FWG-08Ov-L8nLz2bYkhBGI-eKfpiSOZWGt&_nc_ohc=8k5H5KtqjLAQ7kNvwGfrOL0&_nc_gid=ZAVjDpXAjE64-qWEcIGT7w&edm=APU89FABAAAA&ccb=7-5&oh=00_Afz1kNRJBAxhRTOfVNNpGMU1JZDdNSdfPOTj0RG4jJKHpQ&oe=69AF93DD&_nc_sid=bc0c2c,https://scontent-atl3-3.cdninstagram.com/v/t51.29350-15/183105449_1169985053519722_4845208254550322172_n.jpg?stp=dst-jpg_e35_s640x640_sh0.08_tt6&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2QG7ajxz7I1bMLnCkv2HJdgQN4MElgZtwWsgEXcGUekKx9jePFQei4FWG-08Ov-L8nLz2bYkhBGI-eKfpiSOZWGt&_nc_ohc=8k5H5KtqjLAQ7kNvwGfrOL0&_nc_gid=ZAVjDpXAjE64-qWEcIGT7w&edm=APU89FABAAAA&ccb=7-5&oh=00_AfzQLTkdQvGCeSzoisDcg2QTQtK4zbLUCNr2whNjPKZ4EA&oe=69AF93DD&_nc_sid=bc0c2c,,,3,🤤🤤🤤ALL VEGAN CHINESE 🤤🤤🤤 Harmony on Buford Highway is the SPOT,
atllovesmo\2021-05-15_16-27-24_UTC.json.xz,2.57426E+18,CO5nj_9Jnwu,https://www.instagram.com/p/CO5nj_9Jnwu/,GraphSidecar,,FALSE,1621096044,2021-05-15T16:27:24+00:00,don’t sleep on @atlfoodtruckpark you never know what you might find 🌱🌱🌱,12,,atlfoodtruckpark,7suns_2moons|atlfoodtruckpark,8434439572,atllovesmo,Morgan Tolley,TRUE,12981398,Atlanta Food Truck Park & Market,atlanta-food-truck-park-market,73,5,,https://scontent-atl3-1.cdninstagram.com/v/t51.29350-15/185509144_219356109666042_6871321345097961812_n.jpg?stp=dst-jpg_e35_s1080x1080_tt6&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2QG7ajxz7I1bMLnCkv2HJdgQN4MElgZtwWsgEXcGUekKx9jePFQei4FWG-08Ov-L8nLz2bYkhBGI-eKfpiSOZWGt&_nc_ohc=LFHqGv28tPoQ7kNvwEmQ_n5&_nc_gid=ZAVjDpXAjE64-qWEcIGT7w&edm=APU89FABAAAA&ccb=7-5&oh=00_AfyCJDuGb-uFh2xeIJShjTfc51jpokiJn_2by-NEiWPNJg&oe=69AF8B24&_nc_sid=bc0c2c,https://scontent-atl3-1.cdninstagram.com/v/t51.29350-15/185509144_219356109666042_6871321345097961812_n.jpg?stp=dst-jpg_e35_s640x640_sh0.08_tt6&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2QG7ajxz7I1bMLnCkv2HJdgQN4MElgZtwWsgEXcGUekKx9jePFQei4FWG-08Ov-L8nLz2bYkhBGI-eKfpiSOZWGt&_nc_ohc=LFHqGv28tPoQ7kNvwEmQ_n5&_nc_gid=ZAVjDpXAjE64-qWEcIGT7w&edm=APU89FABAAAA&ccb=7-5&oh=00_AfyQ8m_n2oxsgzGZO3wYuu3T-1W94UUGYqq7RN351t_HXw&oe=69AF8B24&_nc_sid=bc0c2c,,,6,don’t sleep on @atlfoodtruckpark you never know what you might find 🌱🌱🌱,
